Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3
CRO (R),CRO2,2022,Spring,11.3,7.65,8.8,54,38,13.2,17.2,0.18,0.03,0.005,0.08,0.005,1.12,1.87,9.56,0,16.15,1.91,1.91,1.11,3.76,0.49,2.71,0.41,0.06,0.02,0.285,0.79,0.02,0.16,0.25,6.94,0.001,0.075,24.22,0.001,0.01,0.005,0.01,19.05,0.002,0.02,1.968586387,0.591950464
CRO (R),CRO3,2022,Spring,10.8,7.51,8.9,55,38,13.5,17.5,0.23,0.03,0.03,0.09,0.005,1.1,1.92,9.48,0,16.46,1.92,1.93,1.1,3.82,0.5,3.1,0.35,0.05,0.02,0.285,1.09,0.02,0.17,0.27,6.73,0.001,0.075,25.05,0.001,0.01,0.005,0.01,19.67,0.002,0.01,1.979274611,0.575941677
CRO (R),CRO4,2022,Spring,11,7.54,9.8,55,39,13.4,17.9,0.19,0.01,0.03,0.09,0.005,1.01,2.22,9.14,0,16.31,1.96,1.95,1.06,3.95,0.45,3.63,0.33,0.06,0.03,2.84,2.67,0.03,0.16,0.23,5.5,0.001,0.075,24.8,0.001,0.01,0.005,0.01,18.58,0.002,0.01,2.025641026,0.560392397
CRO (R),CRO5,2022,Spring,10.7,7.26,10.2,53,38,18,20.8,0.27,0.02,0.03,0.07,0.005,1.18,1.03,9.17,0,21.9,1.84,2.12,1.03,4.85,0.55,3.96,0.38,0.06,0.03,23.59,11.38,0.06,0.21,0.26,17.01,0.001,0.075,26.52,0.001,0.001,0.005,0.01,21.85,0.002,0.01,2.287735849,0.418721461
CRO (R),CRO6,2022,Spring,9.9,7.15,10.4,50,36,12.5,15.6,0.65,0.02,0.04,0.11,0.005,1.21,1.3,9.29,0,15.3,1.88,1.73,1.05,3.4,0.45,4.29,0.32,0.04,0.04,41.04,15.28,0.07,0.26,0.54,15.56,0.001,0.075,21.28,0.001,0.001,0.005,0.01,18.06,0.002,0.01,1.965317919,0.607189542
CRO (R),CRO7,2022,Spring,10,7.09,9.8,43,30,15.7,12.2,0.39,0.01,0.04,0.23,0.005,0.79,0.94,8.82,0,19.12,1.59,1.45,0.92,2.51,0.24,4.07,0.37,0.03,0.05,6.78,2.9,0.03,0.13,0.12,24.25,0.001,0.075,16.97,0.001,0.001,0.005,0.01,14.4,0.002,0.01,1.731034483,0.461297071
EAS (R),EAS1,2022,Spring,10.9,8.02,9.2,21,14,11.9,7.3,0.25,0.005,0.05,0.13,0.01,0.43,0.29,2.78,0,14.46,0.48,0.46,0.29,2.14,0.13,3.72,0.07,0.01,0.07,0.285,0.32,0.01,0.1,0.025,23.91,0.001,0.075,9.78,0.001,0.001,0.005,0.01,9.85,0.002,0.01,4.652173913,0.192254495
EAS (R),EAS2,2022,Spring,11.1,7.5,9.3,22,15,13.3,8.1,0.27,0.01,0.04,0.17,0.01,0.42,0.39,2.72,0,16.21,0.48,0.47,0.28,2.48,0.15,3.61,0.09,0.02,0.05,0.285,0.27,0.01,0.07,0.025,24.44,0.001,0.075,10.45,0.001,0.01,0.005,0.01,9.55,0.002,0.02,5.276595745,0.167797656
EAS (R),EAS3,2022,Spring,10.6,7.42,9.5,18,13,9.4,6.3,0.27,0.02,0.005,0.17,0.005,0.51,0.3,2.64,0,11.44,0.48,0.44,0.29,1.78,0.15,3.89,0.08,0.01,0.04,0.285,0.3,0.01,0.07,0.025,22.65,0.001,0.075,8.25,0.001,0.001,0.005,0.01,8.86,0.002,0.01,4.045454545,0.230769231
EAS (R),EAS4,2022,Spring,10.7,7.14,9.6,17,12,7.8,5.5,0.35,0.02,0.005,0.2,0.005,0.51,0.26,2.46,0,9.49,0.47,0.41,0.29,1.53,0.14,4.41,0.04,0.005,0.03,0.285,0.34,0.01,0.09,0.025,22.95,0.001,0.075,7.49,0.001,0.001,0.005,0.01,8.86,0.002,0.01,3.731707317,0.259220232
EAS (R),EAS5,2022,Spring,10.7,7.01,9.8,16,11,6.6,5.1,0.33,0.01,0.03,0.19,0.005,0.55,0.26,2.36,0,8.02,0.48,0.39,0.29,1.4,0.16,4.99,0.02,0.005,0.04,0.285,0.47,0.01,0.11,0.025,22.76,0.001,0.075,7.2,0.001,0.001,0.005,0.01,8.84,0.002,0.0005,3.58974359,0.294264339
EAS (R),EAS6,2022,Spring,10.3,7.02,9.8,15,11,6.7,4.9,0.31,0.005,0.005,0.2,0.005,0.66,0.3,2.31,0,8.2,0.48,0.38,0.28,1.33,0.14,5.66,0.03,0.01,0.04,0.285,0.45,0.01,0.12,0.025,24.57,0.001,0.075,7.03,0.001,0.001,0.005,0.01,8.63,0.002,0.0005,3.5,0.281707317
EAS (R),EAS7,2022,Spring,10.6,6.57,10,14,10,5.7,4.4,0.31,0.005,0.005,0.25,0.005,0.51,0.24,2.17,0,6.89,0.46,0.38,0.27,1.14,0.15,5.93,0.02,0.005,0.03,0.285,0.54,0.01,0.11,0.025,25.47,0.001,0.075,6.59,0.001,0.001,0.005,0.01,8.15,0.002,0.0005,3,0.314949202
EAS (R),EAS8,2022,Spring,10.2,6.45,10.3,14,10,4.8,4.1,0.43,0.01,0.005,0.32,0.005,0.64,0.3,2.16,0,5.88,0.52,0.4,0.32,0.99,0.13,8.3,0.06,0.01,0.03,0.285,0.88,0.01,0.14,0.05,23.52,0.001,0.075,6.37,0.001,0.001,0.005,0.01,8.44,0.002,0.0005,2.475,0.367346939
EAS (R),EAS9,2022,Spring,10.4,6.2,9.3,14,10,4.3,4,0.55,0.01,0.005,0.41,0.005,0.54,0.27,1.96,0,5.29,0.49,0.4,0.32,0.95,0.15,8.88,0.02,0.01,0.03,0.285,0.98,0.01,0.15,0.09,23.05,0.001,0.075,5.91,0.001,0.001,0.01,0.01,9.34,0.002,0.0005,2.375,0.370510397
FRY (MI),FRY1,2022,Spring,11.3,7.96,10,343,245,76,133.6,0.3,0.01,0.005,0.13,0.005,0.96,6,102.03,0,92.72,14.57,13.42,1.65,31.44,4.78,1.52,0.05,0.07,0.04,0.285,0.67,0.03,0.28,0.27,23.57,0.001,0.075,405.55,0.001,0.001,0.005,0.01,38.17,0.002,0.1,2.342771982,1.100409836
FRY (MI),FRY2,2022,Spring,11,7.87,10.2,346,248,74.4,132.4,0.86,0.02,0.03,0.15,0.005,1.25,5.95,100.21,0,90.72,13.91,13.32,1.69,31.12,4.19,1.93,0.16,0.1,0.04,0.285,0.77,0.03,0.31,0.4,25.12,0.001,0.075,375.24,0.001,0.01,0.005,0.01,37.18,0.002,0.11,2.336336336,1.104607584
FRY (MI),FRY3,2022,Spring,11.2,7.99,10.7,326,237,68.3,126.4,0.31,0.01,0.005,0.12,0.005,0.94,6.03,94.12,0,83.37,12.36,12.57,1.59,29.96,3.2,1.76,0.1,0.07,0.04,0.285,0.73,0.03,0.27,0.21,23.59,0.001,0.075,318.1,0.001,0.001,0.005,0.01,34.72,0.002,0.09,2.383452665,1.128943265
FRY (MI),FRY4,2022,Spring,12,8.04,11.5,325,241,65.7,127.4,0.29,0.01,0.005,0.11,0.005,1.16,6.12,95.1,0,80.11,11.9,12.74,1.6,30.07,3.28,2.23,0.11,0.08,0.05,0.285,1.15,0.03,0.28,0.23,22.22,0.001,0.075,316.29,0.001,0.001,0.005,0.01,33.16,0.002,0.09,2.360282575,1.187117713
FRY (MI),FRY5,2022,Spring,11.1,8.03,12.9,312,240,60.7,121.6,0.25,0.005,0.005,0.12,0.005,0.94,6.28,92.61,0,74.1,10.91,12.26,1.53,28.52,3.24,2.74,0.09,0.08,0.04,0.285,1.05,0.03,0.24,0.54,24.23,0.001,0.075,288.04,0.001,0.001,0.005,0.01,30.91,0.002,0.09,2.326264274,1.249797571
FRY (MI),FRY6,2022,Spring,10.6,8.26,13.7,309,243,54.2,124.6,0.29,0.01,0.005,0.15,0.005,0.9,6.63,95.78,0,66.1,8.91,12.7,1.59,29.01,2.89,3.39,0.08,0.09,0.04,0.285,0.94,0.03,0.25,0.19,21.07,0.001,0.075,269.56,0.001,0.001,0.005,0.01,29.91,0.002,0.07,2.284251969,1.449016641
FRY (MI),FRY7,2022,Spring,10.4,8.05,13,128,99,35,38.9,0.32,0.005,0.005,0.16,0.01,0.96,9.13,14.85,0,42.68,8.29,3.53,1.15,9.74,0.43,3.64,0.13,0.12,0.03,0.285,0.76,0.02,0.23,0.58,25.4,0.001,0.075,74.82,0.001,0.001,0.005,0.01,25.5,0.002,0.01,2.759206799,0.347938144
FRY (MI),FRY8,2022,Spring,10.4,7.89,13,120,93,31.9,36.2,0.52,0.005,0.005,0.18,0.005,0.9,8.73,14.22,0,38.94,7.69,3.35,1.09,9.01,0.43,3.7,0.14,0.11,0.02,0.285,0.54,0.02,0.11,0.1,21.08,0.001,0.075,74.69,0.001,0.001,0.005,0.01,25.2,0.002,0.01,2.689552239,0.365177196
FRY (MI),FRY9,2022,Spring,10,7.61,12.3,61,46,25.9,16.9,0.34,0.01,0.005,0.24,0.005,0.76,3.51,10.26,0,31.57,3.91,1.83,1.02,3.76,0.29,2.99,0.16,0.04,0.01,0.285,0.43,0.01,0.12,0.09,24.81,0.001,0.075,35.46,0.001,0.001,0.005,0.01,18.45,0.002,0.0005,2.054644809,0.324992081
LLW (MI),LLW1,2022,Spring,11.5,8.47,9.2,907,635,100.2,472.5,0.28,0.005,0.005,0.23,0.005,1.92,0.83,420.29,0,122.2,7.42,58.64,4.08,92.83,14.64,3.44,0.1,0.04,0.08,0.285,0.69,0.08,1.08,0.5,15.78,0.001,2.95,1790.98,0.001,0.001,0.01,0.01,42.05,0.002,0.72,1.583049113,3.439361702
LLW (MI),LLW2,2022,Spring,11.1,8.49,10.9,927,679,104.6,491.9,0.34,0.005,0.005,0.22,0.005,1.41,0.88,435.83,0,127.61,7.65,60.37,4.33,97.77,15.31,3.86,0.05,0.03,0.07,0.285,0.91,0.08,1.24,0.46,15.74,0.001,3.09,1869.94,0.001,0.001,0.01,0.01,41.61,0.002,0.68,1.619513003,3.415327952
LLW (MI),LLW3,2022,Spring,10.3,8.42,12.3,1062,805,123.5,573,0.33,0.01,0.005,0.19,0.005,1.8,0.88,504.38,0,150.65,8.33,70.15,5.1,114.14,19.04,4.28,0.05,0.03,0.07,0.285,0.98,0.09,1.57,0.48,2.87,0.001,4.12,2104.85,0.001,0.001,0.01,0.01,38.65,0.002,0.76,1.627084818,3.348025224
LLW (MI),LLW4,2022,Spring,10.8,8.37,11.9,1105,828,128.2,595,0.29,0.005,0.005,0.16,0.005,1.85,0.94,538.6,0,156.4,8.59,72.27,5.36,119.48,20.35,4.73,0.06,0.02,0.08,0.285,0.81,0.1,1.85,0.51,23.99,0.001,4.34,2220.17,0.001,0.001,0.01,0.01,37.82,0.002,0.83,1.653244777,3.443734015
LLW (MI),LLW5,2022,Spring,10.8,8.39,10.3,1362,982,190.8,782,0.33,0.005,0.005,0.21,0.005,1.25,1.14,652.43,0,232.75,8.44,100.3,7.32,148.29,9.1,3.16,0.03,0.02,0.11,0.285,1.14,0.12,1.27,0.66,12.75,0.001,1.75,2173.89,0.001,0.001,0.005,0.01,40.14,0.002,1.7,1.478464606,2.803136412
LLW (MI),LLW6,2022,Spring,10.4,8.39,11.2,1687,1245,273.4,1030.1,0.43,0.01,0.07,0.3,0.005,1.14,1.3,812.07,0,333.6,9.12,132.7,9.83,194.43,12.82,3.1,0.01,0.005,0.1,0.285,40.74,0.19,1.86,1,11.49,0.001,2.35,2680.76,0.001,0.001,0.005,0.01,32.54,0.002,2.46,1.465184627,2.43426259
ROL (MI),ROL1,2022,Spring,11.3,9.28,9.1,516,359,90.2,227.1,0.28,0.01,0.005,0.1,0.005,0.91,1.15,186.95,0,110.07,17.12,23.62,2.13,52.09,,2.09,0.18,0.03,0.06,0.285,2.38,0.06,0.55,0.26,22.94,0.001,0.59,620.88,0.001,0.01,0.005,0.01,41.8,0.002,0.19,2.205334462,1.698464613
ROL (MI),ROL2,2022,Spring,10.7,8.04,10.4,620,448,86.3,293.7,0.19,0.005,0.005,0.1,0.005,0.91,1.39,255.5,0,105.26,15.14,31.87,2.4,65.2,5.21,2.13,0.13,0.02,0.05,0.285,0.52,0.06,0.64,0.3,22.6,0.001,0.075,610.51,0.001,0.001,0.005,0.01,41.83,0.002,0.24,2.045811108,2.42732282
ROL (MI),ROL3,2022,Spring,9.9,7.83,11.2,665,490,89.3,324.9,0.3,0.005,0.005,0.13,0.005,1.1,1.61,271.17,0,108.92,15.29,35.28,2.59,72.1,5.8,2.09,0.1,0.01,0.05,0.285,4.55,0.07,0.73,0.38,22.03,0.001,0.075,656.06,0.001,0.001,0.005,0.01,42.52,0.002,0.28,2.043650794,2.489625413
ROL (MI),ROL4,2022,Spring,9.8,7.88,12.4,819,623,85.7,420.6,0.33,0.01,0.005,0.09,0.005,1.23,2.04,376.29,0,104.58,14.93,46.09,3.17,92.65,6.16,2.15,0.06,0.03,0.08,0.285,1.08,0.09,0.98,0.49,19.25,0.001,0.075,735.18,0.001,0.001,0.005,0.01,45.14,0.002,0.35,2.01019744,3.598106713
ROL (MI),ROL5,2022,Spring,9.8,8.06,14.2,954,759,82,515.4,0.32,0.005,0.005,0.11,0.005,1.21,2.39,459.19,0,100.09,15.21,56.95,3.72,112.77,7.13,2.71,0.09,0.05,0.11,0.285,1.08,0.1,1.08,0.55,23.21,0.001,0.6,825.71,0.001,0.001,0.005,0.01,42.06,0.002,0.44,1.980158033,4.587771006
ROL (MI),ROL6,2022,Spring,8.4,7.95,13.8,1244,978,92.7,730.6,0.57,0.01,0.04,0.3,0.005,1.51,4.15,646.95,0,113.12,8.95,82.9,4.84,156.28,3.61,2.49,0.02,0.04,0.13,0.285,4.22,0.14,1.63,0.8,21.34,0.001,1.78,789.5,0.001,0.001,0.01,0.01,41.94,0.002,0.91,1.885162847,5.719147808
ROL (MI),ROL7,2022,Spring,10.8,7.93,10.5,1505,1089,132.1,953.2,0.73,0.005,0.03,0.53,0.005,1.35,5.19,783.57,0,161.19,10.79,105.67,5.45,207.96,4.76,1.97,0.08,0.02,0.15,0.285,8.35,0.18,2.43,0.88,25.36,0.001,2.56,1059.04,0.001,0.001,0.01,0.01,28.25,0.002,1.42,1.968013627,4.86115764
SPC (MI),SPC1,2022,Spring,12.5,8.27,6.6,379,247,104.7,125.2,0.12,0.005,0.005,0.03,0.005,1.02,4.21,89.01,0,127.78,30.83,11.32,1.61,31.51,16.85,3.7,0.04,0.02,0.05,0.285,7.27,0.06,1.07,0.15,7.28,0.001,0.075,342.82,0.001,0.001,0.005,0.01,43.63,0.002,0.09,2.783568905,0.696587885
SPC (MI),SPC2,2022,Spring,12.7,8.42,7.5,396,264,106.5,129.9,0.17,0.02,0.005,0.03,0.01,1.02,4.47,96.66,0,129.98,31.02,11.74,1.69,32.69,19.16,3.63,0.17,0.06,0.05,0.285,32.63,0.1,1.28,0.17,16.89,0.001,0.075,364.8,0.001,0.01,0.005,0.01,41.51,0.002,0.11,2.784497445,0.74365287
SPC (MI),SPC3,2022,Spring,12.7,8.37,7.6,399,267,91.2,148.4,0.25,0.005,0.005,0.07,0.005,0.99,4.77,113.78,0,111.31,23.54,13.64,1.86,37,20.81,3.91,0.15,0.03,0.04,15.77,44.33,0.14,1.91,0.24,24.42,0.001,0.075,419.71,0.001,0.001,0.01,0.01,35.97,0.002,0.12,2.712609971,1.022190279
SPC (MI),SPC4,2022,Spring,11.3,8.24,11.7,433,324,96.7,162.6,0.38,0.005,0.005,0.09,0.005,1.05,5.13,129.74,0,118,24.77,15.12,2.03,40.25,26,6.78,0.1,0.02,0.04,12.71,68.38,0.19,2.54,0.25,16.6,0.001,0.075,496.42,0.001,0.001,0.01,0.01,37.63,0.002,0.13,2.662037037,1.099491525
SPC (MI),SPC5,2022,Spring,10.4,8.08,12.3,444,337,88.7,173.5,0.24,0.005,0.005,0.11,0.005,1.1,5.41,139.48,0,108.17,24.62,16.36,2.22,42.57,29.47,10.64,0.13,0.03,0.05,36.4,45.5,0.19,3.22,0.3,18.52,0.001,0.075,540.23,0.001,0.001,0.01,0.01,37.82,0.002,0.15,2.60207824,1.289451789
SPC (MI),SPC6,2022,Spring,10.2,8.08,12.3,440,334,86.4,173.4,0.27,0.005,0.005,0.13,0.005,0.89,5.63,143.39,0,105.41,25.74,16.77,2.21,41.85,32.4,11.37,0.1,0.03,0.06,14.93,44.21,0.3,4.79,0.28,22.78,0.001,0.075,562.21,0.001,0.001,0.02,0.01,35.29,0.002,0.15,2.495527728,1.360307371
SPC (MI),SPC7,2022,Spring,10.7,7.96,11,403,296,91.6,147.9,0.28,0.005,0.005,0.16,0.005,0.98,5.12,114.27,0,111.8,25.95,13.9,1.99,36.38,24.82,3.42,0.15,0.03,0.05,41.43,26.19,0.11,1.03,0.31,73.43,0.001,0.075,495.49,0.001,0.001,0.01,0.01,36.56,0.002,0.16,2.617266187,1.022093023
SPC (MI),SPC8,2022,Spring,10.6,7.74,10.5,427,309,98.5,160.7,0.28,0.01,0.005,0.18,0.005,0.95,5.59,127.36,0,120.19,29.97,15.36,2.05,39.1,29.77,1.6,0.11,0.03,0.06,26.37,51.09,0.15,1.23,0.21,15.35,0.001,0.075,553.07,0.001,0.001,0.005,0.01,36.96,0.002,0.17,2.545572917,1.059655545