f.statistic,f.p.value,s.statistic,s.p.value,Metric,method
21.99401229,0.000524972,6.302651066,0.277873445,do.mgl,Kruskal-Wallis rank sum test
17.66628267,0.003395079,33.98186799,2.40E-06,ph,
18.83035444,0.0020671,17.61925816,0.003463453,temp.C,
39.21986144,2.14E-07,43.12034018,3.49E-08,sc.uScm,
38.68820331,2.74E-07,43.037885,3.63E-08,ac.uScm,
38.11991773,3.57E-07,41.62865072,7.00E-08,alkalinity.mgl,
37.65362063,4.43E-07,42.14488361,5.51E-08,hardness.mgl,
12.90454348,0.02428991,9.708478028,0.083929577,tn.mgl,
12.26785873,0.031296231,14.43572458,0.01306615,tp.mgl,
7.909422057,0.161298712,10.52606679,0.06162991,nh3.n.mgl,
29.82553658,1.60E-05,20.40680524,0.001048019,no2no3.n.mgl,
15.04803567,0.010159049,4.099702381,0.535152471,ortho.po4.p.mgl,
28.28922069,3.20E-05,31.57654132,7.21E-06,npoc.mgl,
38.47350918,3.03E-07,40.80431515,1.03E-07,cl.mgl,
38.52959831,2.95E-07,42.43606009,4.81E-08,so4.mgl,
38.11991773,3.57E-07,41.62865072,7.00E-08,hco3.mgl,
39.35010673,2.02E-07,41.78361928,6.52E-08,na.mgl,
37.521827,4.71E-07,41.7614172,6.58E-08,mg.mgl,
36.80277665,6.56E-07,42.23118668,5.29E-08,k.mgl,
37.54137004,4.66E-07,42.6767432,4.30E-08,ca.mgl,
37.91920046,3.92E-07,40.99671257,9.40E-08,li.ugl,
22.47840742,0.00042455,24.51851044,0.000172552,al.ugl,
29.5575912,1.80E-05,29.78189091,1.63E-05,ti.ugl,
29.75484225,1.65E-05,35.08608392,1.45E-06,v.ugl,
18.61338798,0.002268217,30.03093453,1.45E-05,cr.ugl,
24.40034503,0.000181835,26.39558488,7.48E-05,fe.ugl,
29.92675711,1.52E-05,31.94897424,6.08E-06,mn.ugl,
28.16219543,3.38E-05,38.54602891,2.93E-07,co.ugl,
37.05353451,5.84E-07,38.59256272,2.87E-07,ni.ugl,
30.6446409,1.10E-05,31.01454404,9.31E-06,cu.ugl,
26.68009703,6.58E-05,17.9888441,0.002960419,zn.ugl,
26.95294144,5.83E-05,NA,NA,as.ugl,
30.90372563,9.79E-06,36.61431109,7.16E-07,se.ugl,
37.55908875,4.63E-07,43.3364169,3.16E-08,sr.ugl,
5,0.415880187,NA,NA,mo.ugl,
5,0.415880187,9.928056319,0.077299593,ag.ugl,
28.04816017,3.56E-05,17.0934949,0.004325852,cd.ugl,
33.65294257,2.79E-06,37.31221804,5.19E-07,ba.ugl,
6,0.306218918,NA,NA,pb.ugl,
35.31943948,1.30E-06,39.45344798,1.92E-07,u.ugl,
34.86177029,1.60E-06,39.34160389,2.03E-07,ca.mg,
34.12474292,2.25E-06,37.8948945,3.96E-07,so4.hco3,