Metric,F-statistic,p.value,,method,,,,"Top 10 differences in water chem between streams: na.mgl, sc.uScm, ac.uScm, so4.mgl, cl.mgl, alkalinity.mgl, hco3.mgl, li.ugl, hardness.mgl, sr.ugl"
ac.uScm,38.69,2.74E-07,,Kruskal-Wallis rank sum test,,,,
ag.ugl,5,0.415880187,,,,,,
al.ugl,22.48,0.00042455,,,,,,
alkalinity.mgl,38.12,3.57E-07,,,,,,
as.ugl,26.95,5.83E-05,,,,,,
ba.ugl,33.65,2.79E-06,,,,,,
ca.mg,34.86,1.60E-06,,,,,,
ca.mgl,37.54,4.66E-07,,,,,,
cd.ugl,28.05,3.56E-05,,,,,,
cl.mgl,38.47,3.03E-07,,,,,,
co.ugl,28.16,3.38E-05,,,,,,
cr.ugl,18.61,0.002268217,,,,,,
cu.ugl,30.64,1.10E-05,,,,,,
do.mgl,21.99,0.000524972,,,,,,
fe.ugl,24.4,0.000181835,,,,,,
hardness.mgl,37.65,4.43E-07,,,,,,
hco3.mgl,38.12,3.57E-07,,,,,,
k.mgl,36.8,6.56E-07,,,,,,
li.ugl,37.92,3.92E-07,,,,,,
mg.mgl,37.52,4.71E-07,,,,,,
mn.ugl,29.93,1.52E-05,,,,,,
mo.ugl,5,0.415880187,,,,,,
na.mgl,39.35,2.02E-07,,,,,,
nh3.n.mgl,7.91,0.161298712,,,,,,
ni.ugl,37.05,5.84E-07,,,,,,
no2no3.n.mgl,29.83,1.60E-05,,,,,,
npoc.mgl,28.29,3.20E-05,,,,,,
ortho.po4.p.mgl,15.05,0.010159049,,,,,,
pb.ugl,6,0.306218918,,,,,,
ph,17.67,0.003395079,,,,,,
sc.uScm,39.22,2.14E-07,,,,,,
se.ugl,30.9,9.79E-06,,,,,,
so4.hco3,34.12,2.25E-06,,,,,,
so4.mgl,38.53,2.95E-07,,,,,,
sr.ugl,37.56,4.63E-07,,,,,,
temp.C,18.83,0.0020671,,,,,,
ti.ugl,29.56,1.80E-05,,,,,,
tn.mgl,12.9,0.02428991,,,,,,
tp.mgl,12.27,0.031296231,,,,,,
u.ugl,35.32,1.30E-06,,,,,,
v.ugl,29.75,1.65E-05,,,,,,
zn.ugl,26.68,6.58E-05,,,,,,