,,Reference 1,,Reference 2,,Mining Influenced 1 ,,Mining Influenced 2  ,,Mining Influenced 3,,Mining Influenced 4,,,
,Metric,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd,F-statistic,p value
,div.shan,2.9,0.14,2.78,0.09,2.38,0.11,2.34,0.4,2.29,0.22,2.8,0.15,29.76,1.65E-05
,div.simp,0.92,0.02,0.9,0.01,0.82,0.03,0.83,0.08,0.83,0.05,0.9,0.02,25.59,0.000107206
,even.pielou,0.83,0.03,0.83,0.02,0.73,0.04,0.74,0.1,0.74,0.05,0.82,0.03,22.48,0.0004243
,Hshannon,2.9,0.14,2.78,0.09,2.38,0.11,2.34,0.4,2.29,0.22,2.8,0.15,29.76,1.65E-05
,Hsimpson,0.92,0.02,0.9,0.01,0.82,0.03,0.83,0.08,0.83,0.05,0.9,0.02,25.51,0.000111033
,J,0.83,0.03,0.83,0.02,0.73,0.04,0.74,0.1,0.74,0.05,0.82,0.03,22.48,0.0004243
,p1dom,20.06,1.41,20.43,1.05,19.51,1.35,18.52,1.6,19.53,0.91,19.36,1.21,6.97,0.222798581
,p2dom,34.63,2.44,35.24,1.81,33.63,2.34,31.93,2.79,33.73,1.56,33.4,2.04,6.88,0.230016827
,p5dom,67.71,4.75,68.96,3.56,65.83,4.6,62.5,5.45,65.98,3.07,65.34,4.03,6.88,0.230016827
,pBurrow,25.89,3.6,12.19,5.64,9.14,3.97,20,18.39,27.5,7.7,10.04,2.28,23.85,0.0002322
,pCF,11.4,8.52,32.89,2.78,54.49,4.09,39.5,8.72,39,7.14,40.57,5.85,31.81,6.49E-06
,pCG,24.51,3.09,23.85,4.78,3.2,1.34,12.87,6.38,17.57,7.59,9.87,4.17,30.90,9.81E-06
,pChi,13.47,3.26,10.25,5.5,1.65,0.6,7.15,1.76,7.92,5.15,5.11,1.84,27.34,4.91E-05
,pChiO,14.78,3.55,10.49,5.42,2.31,1.09,8.56,2.55,15.48,7.33,5.89,1.85,28.94,2.38E-05
,pCling,48.34,8.05,74.14,9.73,84.53,3.69,74.23,17.03,66.88,9.24,83.54,4.68,24.60,0.00016613
,pD,23.93,5.17,12.05,5.93,7.74,3.34,21.3,17.98,19.43,5.69,10,2.78,22.24,0.000470331
,pE,22.13,6.99,25.03,5.41,4,2.53,4.5,8.73,1.2,1.22,12.93,4.89,31.24,8.41E-06
,pE.less.B,21.54,6.83,22.8,5.14,3.7,2.36,0.83,1.37,1.2,1.22,9.86,3.18,35.90,9.93E-07
,pEPT,56.12,4.8,77.55,6.83,75.87,8.69,56.28,9.27,59.06,8.1,75.92,4.7,28.37,3.07E-05
,pEPT.less.Cheum,54.79,5.7,74.7,7.8,63.75,9.55,51.5,8.51,56.19,8.9,55.9,6.98,21.23,0.000733261
,pEPT.less.H,46.28,9.07,46.84,6.3,23.55,6.85,19.69,11.13,21.02,5.04,41.58,4.83,31.56,7.25E-06
,pEPT.less.HBL,40.73,4.98,43.28,6.13,22.73,6.98,8.49,3.39,16.18,7.07,37.03,3.46,34.37,2.01E-06
,pOligo,1.3,0.89,0.25,0.38,0.66,0.88,1.42,1.07,7.53,5.78,0.77,0.55,14.94,0.010626874
,pP,19.74,6.19,10.65,3.15,9.55,4.15,11.08,8.11,12.53,3.82,14.96,6.73,12.30,0.030840329
,pP.less.Allo,18.54,5.06,10.65,3.15,9.38,4.1,9.92,7.41,11.62,3.11,4.76,1.37,21.34,0.000698019
,pP.less.Amph,19.74,6.19,10.65,3.15,9.55,4.15,11.08,8.11,12.53,3.82,14.96,6.73,12.30,0.030840329
,pP.less.LAA,13.57,3.33,9.31,2.57,8.86,4.47,2.38,1.32,6.77,3.86,3.27,1.33,28.80,2.54E-05
,pP.less.Leuc,14.77,2.39,9.31,2.57,9.04,4.52,3.53,2.14,7.67,4.9,13.49,6.28,20.92,0.000839531
,pPR,13.3,3.41,13.06,1.87,11.73,3.71,5.78,1.81,6.67,3.19,11.99,3.62,19.89,0.001308419
,pPT.H,24.14,6.35,21.81,2.71,19.53,8.23,15.2,7.79,19.82,5.97,28.66,4.44,12.80,0.025312549
,pSC,29.26,8.58,24.05,4.05,19.09,6.19,20.85,10.89,17.45,4.39,21.16,4.76,11.60,0.04072933
,pSC.less.E,14.77,4.01,12.03,3.91,15.44,5.32,19.95,10.62,16.25,3.97,12.06,3.14,9.33,0.096486404
,pSH,21.49,7.96,6.09,2.71,11.55,3.18,20.98,11.61,19.3,5.18,16.46,6.25,26.96,5.80E-05
,pSprawl,9.86,2.89,2.86,1.63,5.91,3.65,1.7,1.05,5.22,3.66,2.94,1.41,22.96,0.000343154
,pSwimm,15.84,6.48,10.83,5.55,0.43,0.32,4.08,7.23,0.4,0.55,3.44,3.42,31.54,7.31E-06
,pT,14.24,7.92,41.88,3.47,62.31,6.78,40.7,6.99,45.33,7.38,48.03,5.74,31.27,8.29E-06
,pT.less.H,4.39,1.21,11.16,2.23,9.99,5,4.12,2.63,7.3,3.91,13.69,4.32,24.30,0.000189869
,pTOL,0.36,0.53,0.06,0.17,0,0,1.74,0.71,0.08,0.2,0.29,0.49,22.87,0.000357173
,rich,33.29,2.29,28.25,2.25,26.5,3.16,23.5,4.23,22.33,3.08,31.14,2.48,28.17,3.38E-05
,rich.Burrow,7.86,1.57,3.75,1.49,4.13,0.64,5.17,2.04,5.17,0.75,4.14,1.07,21.43,0.000671104
,rich.C,4.71,0.95,2.63,0.74,3.75,1.16,3.67,1.75,3.33,1.51,4.29,1.11,11.69,0.039348215
,rich.CF,3.86,1.86,5.13,0.83,5.38,1.19,5.33,0.82,3.17,0.75,6.57,0.79,21.47,0.000660108
,rich.CG,5.86,1.07,5.38,1.41,2.75,1.16,3.17,1.33,3,0,4.57,0.98,25.33,0.000120514
,rich.Cling,19.29,1.98,19.25,1.75,18.88,2.7,14.83,3.54,13.83,2.56,21.43,1.27,23.26,0.000301274
,rich.D,6.86,1.46,3.63,1.3,3.88,0.99,7,1.26,4.67,1.75,4.86,1.57,22.98,0.000340807
,rich.E,6.14,0.69,7.13,0.83,2.63,1.51,1.17,0.98,1.33,1.37,5.29,0.49,35.42,1.24E-06
,rich.E.less.B,5.43,0.53,5.63,0.52,2,1.31,0.5,0.55,1.33,1.37,3.71,0.49,35.31,1.31E-06
,rich.EPT,19.14,2.04,20.75,1.58,16.63,3.2,11,1.79,12,1.79,19.57,1.51,29.04,2.28E-05
,rich.EPT.less.H,16.71,1.6,17.5,1.6,13.25,3.15,7.5,1.38,9.83,1.94,16.29,1.5,29.84,1.59E-05
,rich.INT,16.14,2.34,16.75,1.67,14.13,2.53,9.33,2.42,11,2.45,17.57,1.9,26.71,6.48E-05
,rich.less.E,27.14,2.27,21.13,2.47,23.88,1.96,22.33,3.56,21,2.68,25.86,2.34,21.45,0.000666542
,rich.P,6.57,1.51,6.13,1.25,5.75,1.49,4,1.1,5.83,1.17,5.29,1.38,11.00,0.051388414
,rich.PR,10.29,0.95,6.63,1.6,7,0.93,5.17,1.47,6.67,2.07,7.14,1.95,19.28,0.001704034
,rich.PT,13,2.16,13.63,1.51,14,2.14,9.83,1.47,10.67,1.63,14.29,1.38,20.61,0.000958169
,rich.SC,7.14,1.21,7.5,1.41,7,1.31,5.17,1.72,5.33,1.86,8,1.29,13.24,0.021268079
,rich.SC.less.E,4,1.41,3.88,0.83,5.13,0.99,4.67,1.75,4,0.63,5.14,1.21,8.71,0.121393348
,rich.SH,6,1.53,3.5,0.93,4.38,1.19,4.67,1.21,4.17,1.17,4.86,1.21,11.80,0.037568795
,rich.Sprawl,2.86,1.21,1.88,0.64,2.63,0.52,2.5,0.84,2.83,0.98,3.43,1.9,7.08,0.214762428
,rich.Swimm,3.14,0.9,3.38,0.74,0.88,0.64,1,0.63,0.5,0.55,2.14,1.07,29.76,1.64E-05
,rich.T,6.43,2.15,7.5,0.93,8.25,1.39,5.83,0.75,4.83,1.17,9,0.58,24.79,0.000152799
,rich.T.less.H,4,1.15,4.25,0.71,4.88,1.25,2.33,0.82,2.67,1.03,5.71,0.76,26.01,8.87E-05
,rich.TOL,0.43,0.53,0.13,0.35,0,0,1.17,0.41,0.17,0.41,0.43,0.79,18.64,0.002240492