rownames,CRO,,EAS,,FRY,,LLW,,ROL,,SPC,
Metric,Reference 1,,Reference 2,,"Mining
 Influenced 1",,"Mining 
Influenced 2",,"Mining
Influenced 3",,"Mining 
Influenced 4",
,cor,p,cor,p,cor,p,cor,p,cor,p,cor,p
Hshannon,-0.071,0.879048193,-0.357,0.385120644,-0.143,0.7599453,-0.829,0.041562682,0.029,0.95715452,0.393,0.38331687
Hsimpson,-0.5,0.253169995,-0.357,0.385120644,-0.107,0.819150856,-0.829,0.041562682,0.314,0.54409329,0.25,0.588724448
rich,0.342,0.452251222,0.18,0.670344277,0.36,0.427148809,-0.6,0.208,-0.143,0.78717201,0.954,0.000836008
J,-0.321,0.482072038,-0.667,0.070987654,-0.321,0.482072038,-0.829,0.041562682,0.086,0.87174344,0.25,0.588724448
rich.E,0,1,0.441,0.274128125,0.259,0.574237066,-0.093,0.861523765,-0.837,0.03784097,0.316,0.489589745
rich.P,-0.2,0.667166326,0.11,0.794526821,0.291,0.526695193,-0.878,0.021311641,0.441,0.38093921,0.056,0.904850501
rich.T,0,1,-0.35,0.394741568,-0.055,0.907523209,-0.463,0.355232431,0.147,0.78090853,0.668,0.100897346
rich.C,0.02,0.966558047,-0.456,0.255617943,-0.075,0.873289515,-0.638,0.173260315,-0.647,0.16462459,0.147,0.75338789
rich.D,0.487,0.268241155,0.42,0.30015658,0.418,0.350294536,-0.395,0.438739252,0.455,0.36414325,0.741,0.05657714
rich.less.E,0.327,0.473596936,0.133,0.752907285,0.281,0.542047755,-0.771,0.072396501,0.353,0.49237015,0.927,0.002697476
rich.EPT,-0.374,0.408209427,0.025,0.952456686,0.234,0.613155037,-0.841,0.036057573,-0.116,0.82684821,0.418,0.350395113
rich.T.less.H,0.112,0.810599811,-0.143,0.734696285,-0.236,0.609790047,0.123,0.815776496,0.334,0.51770021,0.116,0.80484784
pT.less.H,0.5,0.253169995,0.167,0.693238812,0.179,0.701657943,0.086,0.87174344,0.943,0.00480466,-0.286,0.534509229
rich.EPT.less.H,-0.018,0.968843853,0.185,0.660412117,0.27,0.557730749,-0.759,0.080141228,-0.029,0.95652935,0.364,0.422581508
pEPT.less.H,0.571,0.180201989,-0.071,0.866526271,0.143,0.7599453,-0.657,0.156174927,0.771,0.0723965,-0.107,0.819150856
pEPT,0.5,0.253169995,-0.071,0.866526271,0.071,0.879048193,-0.257,0.622787172,0.086,0.87174344,-0.286,0.534509229
pEPT.less.Cheum,0.5,0.253169995,0.024,0.955374012,0.036,0.939408205,-0.257,0.622787172,0.086,0.87174344,-0.071,0.879048193
pEPT.less.HBL,0.321,0.482072038,0,1,0.143,0.7599453,0.029,0.957154519,0.943,0.00480466,-0.143,0.7599453
rich.PT,-0.367,0.417905395,-0.123,0.772132216,0.327,0.473596936,-0.899,0.014888622,0.463,0.35523243,0.43,0.335111139
pE,0.393,0.38331687,0.048,0.910849169,-0.107,0.819150856,0.029,0.956529352,-0.986,0.00030909,-0.306,0.504027009
rich.E.less.B,0.289,0.530091619,0.394,0.333601087,0.436,0.327582499,0.293,0.573392254,-0.837,0.03784097,-0.474,0.282179859
pE.less.B,0.393,0.38331687,-0.071,0.866526271,-0.107,0.819150856,0.152,0.774057503,-0.986,0.00030909,-0.607,0.148231161
pP,0.321,0.482072038,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.357,0.431611352
pP.less.Leuc,-0.179,0.701657943,-0.381,0.351812553,0.25,0.588724448,-0.486,0.328723032,0.886,0.01884548,0.107,0.819150856
pP.less.Amph,0.321,0.482072038,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.357,0.431611352
pP.less.Allo,0.25,0.588724448,-0.381,0.351812553,0.143,0.7599453,-0.943,0.004804665,0.257,0.62278717,0.071,0.879048193
pP.less.LAA,-0.357,0.431611352,-0.381,0.351812553,0.25,0.588724448,-0.257,0.622787172,0.771,0.0723965,0.25,0.588724448
pT,-0.286,0.534509229,-0.287,0.490015485,0.321,0.482072038,0.371,0.468478134,0.116,0.82684821,-0.429,0.337368311
pPT.H,0.786,0.036238463,-0.241,0.565348061,0.143,0.7599453,-1,0,0.771,0.0723965,0.286,0.534509229
pChi,-0.321,0.482072038,0.262,0.530922862,-0.27,0.557730749,0.486,0.328723032,0.771,0.0723965,0.107,0.819150856
pD,0.107,0.819150856,0.429,0.289403225,0,1,0.6,0.208,0.543,0.26570262,0.429,0.337368311
pOligo,0.214,0.644511581,-0.289,0.488052691,-0.637,0.123550447,0.6,0.208,0.143,0.78717201,0.296,0.518476964
pChiO,-0.179,0.701657943,0.262,0.530922862,-0.786,0.036238463,0.486,0.328723032,0.771,0.0723965,0.393,0.38331687
p1dom,-0.107,0.819150856,-0.5,0.20703125,-0.25,0.588724448,0.2,0.704,0.486,0.32872303,0.342,0.452251222
p2dom,-0.107,0.819150856,-0.5,0.20703125,-0.25,0.588724448,0.2,0.704,0.486,0.32872303,0.342,0.452251222
p5dom,-0.107,0.819150856,-0.5,0.20703125,-0.25,0.588724448,0.2,0.704,0.486,0.32872303,0.342,0.452251222
rich.SH,0.571,0.180247523,-0.426,0.29321272,0.367,0.417905395,-0.441,0.38093921,0.618,0.1910939,-0.449,0.31209844
rich.CG,0.599,0.155435173,0.509,0.197473026,-0.43,0.335111139,0.334,0.517700208,NA,NA,0.767,0.044107491
rich.SC,-0.019,0.968239033,-0.761,0.028273133,0.527,0.223836601,-0.679,0.138076183,-0.725,0.1032428,-0.037,0.937124009
rich.SC.less.E,0.164,0.725862474,-0.718,0.044817276,-0.139,0.765568415,-0.941,0.005097541,-0.338,0.51222526,0.197,0.671969896
rich.CF,-0.259,0.574237066,0.088,0.835495962,0.275,0.550093,-0.216,0.681003541,-0.309,0.55178551,0.777,0.039877389
rich.PR,-0.315,0.491016198,0.683,0.06183473,0.791,0.034316599,-0.928,0.007665844,0.334,0.51770021,0.703,0.078237454
pSH,0.714,0.071343561,-0.31,0.455644891,0.036,0.939408205,-0.029,0.957154519,0.314,0.54409329,0.107,0.819150856
pCG,-0.357,0.431611352,0.19,0.651401496,-0.857,0.013697327,0.714,0.110787172,0.6,0.208,0.536,0.215217456
pSC,0.071,0.879048193,-0.06,0.88799065,-0.321,0.482072038,-0.771,0.072396501,-0.543,0.26570262,0.143,0.7599453
pSC.less.E,-0.714,0.071343561,-0.238,0.570156321,-0.607,0.148231161,-0.829,0.041562682,-0.029,0.95652935,0.179,0.701657943
pCF,-0.286,0.534509229,-0.476,0.232935535,0.5,0.253169995,0.086,0.87174344,-0.486,0.32872303,-0.143,0.7599453
pPR,-0.357,0.431611352,0.108,0.799460427,0.357,0.431611352,-0.6,0.208,0.486,0.32872303,-0.321,0.482072038
rich.Cling,-0.018,0.969133588,-0.331,0.42255559,0.429,0.337368311,-0.58,0.227783957,-0.334,0.51770021,0.692,0.084724349
pCling,-0.536,0.215217456,-0.69,0.057990318,0.342,0.452251222,-0.771,0.072396501,-0.771,0.0723965,-0.321,0.482072038
rich.Burrow,0.243,0.599144228,0.2,0.634447233,-0.219,0.636867652,-0.03,0.954475735,0.648,0.16398445,0.543,0.208185176
pBurrow,-0.143,0.7599453,0.429,0.289403225,-0.036,0.939408205,0.486,0.328723032,0.543,0.26570262,0.714,0.071343561
rich.Sprawl,-0.15,0.748705597,0.206,0.624200312,0.474,0.282179859,-0.676,0.140357387,0.507,0.30455878,-0.164,0.725862474
pSprawl,0.429,0.337368311,0.905,0.002008276,0.107,0.819150856,-0.696,0.124789337,0.943,0.00480466,-0.143,0.7599453
rich.Swimm,0.132,0.777381545,0.404,0.320531962,-0.1,0.831747233,0.845,0.034109423,-0.488,0.32616424,0.599,0.155435173
pSwimm,0.607,0.148231161,0.81,0.014902668,-0.075,0.873289515,0.406,0.424662508,-0.339,0.51035873,0.054,0.908365283
div.shan,-0.071,0.879048193,-0.357,0.385120644,-0.143,0.7599453,-0.829,0.041562682,0.029,0.95715452,0.393,0.38331687
div.simp,-0.5,0.253169995,-0.335,0.416791591,-0.107,0.819150856,-0.829,0.041562682,0.314,0.54409329,0.25,0.588724448
even.pielou,-0.321,0.482072038,-0.667,0.070987654,-0.321,0.482072038,-0.829,0.041562682,0.086,0.87174344,0.25,0.588724448
rich.INT,-0.09,0.84767208,0.277,0.506375425,0.234,0.613155037,-0.696,0.124789337,-0.235,0.65342786,0.418,0.350395113
rich.TOL,0.289,0.530091619,0.577,0.133974596,NA,NA,-0.393,0.441112809,-0.393,0.44111281,0.579,0.173105846
pTOL,0.236,0.609742692,0.577,0.133974596,NA,NA,0.2,0.704,-0.393,0.44111281,0.668,0.100897346