Stream,Site,pfines,ppebbles,psmallcobble,plargecobble,LCF,avgwetwidth,avgdepth,avgembedd,avgcancov,avg.slope,D.pca,Rip.pca
CRO (R),CRO1,11.65048544,37.86407767,25.24271845,25.24271845,2.166666667,1.2,2.106666667,8,75.56333333,2.75,0.865420276,-0.292446995
CRO (R),CRO2,10.61946903,41.59292035,21.23893805,26.54867257,2.5,1.266666667,1.62,8.333333333,68.62666667,3.5,1.029803467,-0.749666249
CRO (R),CRO3,22.33009709,34.95145631,11.65048544,31.06796117,1.391304348,1.65,4.633333333,12.33333333,55.39666667,3,0.143899736,-1.031399809
CRO (R),CRO4,15.2173913,59.7826087,11.95652174,13.04347826,0.857142857,0.883333333,2.293333333,18.33333333,77.76333333,2.5,-3.770941332,-0.457671623
CRO (R),CRO5,13.04347826,58.69565217,23.91304348,4.347826087,0.333333333,1.316666667,3.946666667,13.33333333,78.15666667,0.83,-2.717153108,-0.502917039
CRO (R),CRO6,14.61538462,82.30769231,1.538461538,1.538461538,0.105263158,0.766666667,2.3,5.666666667,47.27333333,1,-5.357101888,-0.935778444
CRO (R),CRO7,17.58241758,54.94505495,18.68131868,8.791208791,0.5,1.083333333,0.606666667,8,89.52666667,2.5,-3.517412399,-0.673637634
EAS (R),EAS1,0,36.95652174,25,38.04347826,Inf,2.166666667,4.74,14.33333333,72.19666667,5,4.951037831,2.386284469
EAS (R),EAS2,6.097560976,36.58536585,32.92682927,24.3902439,4,1.276666667,4.966666667,14.33333333,73.3,5.5,2.920073879,-0.640538193
EAS (R),EAS3,4.545454545,37.87878788,22.72727273,34.84848485,7.666666667,2.66,4.933333333,15.33333333,85.98666667,5.25,3.72482662,-1.081775757
EAS (R),EAS4,6.306306306,45.04504505,27.92792793,20.72072072,3.285714286,1.366666667,1.566666667,15.33333333,80.43,8,0.614802686,-0.895663562
EAS (R),EAS5,9.411764706,35.29411765,25.88235294,29.41176471,3.125,1.126666667,3.12,16.66666667,84.49666667,9.5,2.55757818,-0.895663562
EAS (R),EAS6,9.85915493,32.3943662,30.98591549,26.76056338,2.714285714,1.6,7.806,16,78.55,12.83,2.648086761,-1.127021173
EAS (R),EAS7,15.18987342,40.50632911,26.58227848,17.72151899,1.166666667,1.49,4.593333333,14.33333333,78.37666667,14.5,-0.873657266,-0.890533029
EAS (R),EAS8,16.84210526,28.42105263,27.36842105,27.36842105,1.625,1.533333333,3.106666667,8,84.65666667,14,1.779904712,-1.318263902
EAS (R),EAS9,24,28,14,34,1.416666667,0,0,0.333333333,87.06,27,0.690292415,-1.262757419
FRY (MI),FRY1,10.34482759,52.5862069,19.82758621,17.24137931,1.666666667,3.13,2.84,10,72.64666667,2.5,-1.488262968,-1.004600927
FRY (MI),FRY2,6.18556701,46.39175258,20.6185567,26.80412371,4.333333333,2.15,4.633333333,11.66666667,59.32,4.5,1.962473923,-0.64768655
FRY (MI),FRY3,5.494505495,51.64835165,29.67032967,13.18681319,2.4,2.146666667,4.266666667,11,61.91666667,5,-0.183866005,-1.130873135
FRY (MI),FRY4,4.901960784,54.90196078,26.47058824,13.7254902,2.8,2.716666667,3.833333333,9,72.04666667,4.25,0.051848849,-1.162005522
FRY (MI),FRY5,1.041666667,55.20833333,21.875,21.875,21,1.853333333,9.633333333,7.333333333,84.22333333,5,-0.220689845,0.777119104
FRY (MI),FRY6,6.25,60.41666667,20.83333333,12.5,2,3.25,3.586666667,11.33333333,88.24666667,6,-3.27157916,-0.59340787
FRY (MI),FRY7,5.714285714,55.23809524,20.95238095,18.0952381,3.166666667,1.85,2.866666667,9.666666667,79.28,5,-0.941755825,-1.187658188
FRY (MI),FRY8,7.920792079,49.5049505,19.8019802,22.77227723,2.875,1.48,3.333333333,9.333333333,84.43,5.5,-0.352241183,-0.43714949
FRY (MI),FRY9,13.58024691,44.44444444,11.11111111,30.86419753,2.272727273,1.783333333,7.766666667,5.333333333,49.61666667,10,-0.308937092,-0.198104202
LLW (MI),LLW1,5.504587156,50.4587156,23.85321101,20.18348624,3.666666667,2.233333333,5.5,16.66666667,91.6,4,0.527345042,7.840413394
LLW (MI),LLW2,7.142857143,41.83673469,26.53061224,24.48979592,3.428571429,2.033333333,5.393333333,15.66666667,91.4,2.75,0.674544476,2.386376702
LLW (MI),LLW3,8.910891089,44.55445545,27.72277228,18.81188119,2.111111111,2.266666667,8.54,15,91.32,11.25,0.376033164,1.779491301
LLW (MI),LLW4,5.263157895,49.12280702,22.80701754,22.80701754,4.333333333,1.566666667,5.28,13,83.4,5.5,0.458943105,1.412214317
LLW (MI),LLW5,5.769230769,71.15384615,12.5,10.57692308,1.833333333,1.8,3.7,13.66666667,87.11666667,6.5,-2.806909276,-1.232903604
LLW (MI),LLW6,2.941176471,49.01960784,24.50980392,23.52941176,8,1.333333333,4.026666667,11.33333333,87.71666667,16,1.584858892,1.021894257
ROL (MI),ROL1,2.631578947,51.31578947,22.36842105,23.68421053,9,2.533333333,5.74,17,84.35,11.5,0.212896981,-0.548162454
ROL (MI),ROL2,2.298850575,59.77011494,17.24137931,20.68965517,9,3.266666667,4.393333333,16.33333333,86.35333333,3,-0.931275217,-0.694159767
ROL (MI),ROL3,2.380952381,51.19047619,28.57142857,17.85714286,7.5,1.716666667,5.746666667,16.66666667,89.03,3.5,0.065701363,-1.257626886
ROL (MI),ROL4,5.681818182,56.81818182,20.45454545,17.04545455,3,1.5,3.146666667,15,79.55,6.5,-1.741221806,-1.177397122
ROL (MI),ROL5,9.523809524,60.71428571,9.523809524,20.23809524,2.125,0.693333333,2.026666667,12.33333333,68.37666667,6.33,-1.519338868,-0.548162454
ROL (MI),ROL6,6.153846154,60,15.38461538,18.46153846,3,0.866666667,1.446666667,10,78.33333333,10.25,-1.160143974,-1.041660875
ROL (MI),ROL7,9.333333333,74.66666667,10.66666667,5.333333333,0.571428571,0.866666667,1.02,9.666666667,84.76,14.5,-4.230355901,-0.709551367
SPC (MI),SPC1,11.82795699,34.40860215,24.7311828,29.03225806,2.454545455,2.333333333,6.76,10.66666667,76.47666667,3.5,2.122330316,1.177941131
SPC (MI),SPC2,10.98901099,36.26373626,23.07692308,29.67032967,2.7,3.95,5.12,11,74.68666667,3,0.997589036,1.6727373
SPC (MI),SPC3,10.57692308,38.46153846,30.76923077,20.19230769,1.909090909,3.683333333,3.706666667,13.66666667,90.99,1.25,0.055721126,1.403055923
SPC (MI),SPC4,11.30434783,41.73913043,16.52173913,30.43478261,2.692307692,2.633333333,3.486666667,12.66666667,71.48666667,1.75,1.385865829,2.147026407
SPC (MI),SPC5,4.87804878,40.6504065,26.82926829,27.64227642,5.666666667,2.1,4.966666667,16.66666667,85.58333333,2.25,2.33345928,-0.922271752
SPC (MI),SPC6,6.666666667,38.0952381,24.76190476,30.47619048,4.571428571,1.716666667,4.546666667,11.66666667,88.56333333,4.25,3.087924424,1.021528823
SPC (MI),SPC7,11.42857143,48.57142857,15.23809524,24.76190476,2.166666667,1.65,2.566666667,10.33333333,82.18,2.25,-1.101817651,1.680062975
SPC (MI),SPC8,7.03125,69.53125,21.09375,2.34375,0.333333333,2,2.38,12.33333333,89.09,0.5,-1.328601608,0.542970453